fecha;local;visitante;goles_local;goles_visita;torneo;ciudad;pais_x;neutral;difgol;gana_local;gana_visita;ranking_local;abrev_local;ranking_visitante;abrev_visitante;dif_ranking
12/1/1997;Uruguay;Argentina;0;0;FIFA World Cup qualification;Montevideo;Uruguay;0;0;0;0;43;URU;22;ARG;21
12/1/1997;Venezuela;Paraguay;0;2;FIFA World Cup qualification;Mérida;Venezuela;0;-2;0;1;111;VEN;38;PAR;73
12/2/1997;Bolivia;Chile;1;1;FIFA World Cup qualification;La Paz;Bolivia;0;0;0;0;39;BOL;26;CHI;13
12/2/1997;Colombia;Argentina;0;1;FIFA World Cup qualification;Barranquilla;Colombia;0;-1;0;1;4;COL;22;ARG;-18
12/2/1997;Ecuador;Uruguay;4;0;FIFA World Cup qualification;Quito;Ecuador;0;4;1;0;33;ECU;43;URU;-10
12/2/1997;Paraguay;Peru;2;1;FIFA World Cup qualification;Asunción;Paraguay;0;1;1;0;38;PAR;54;PER;-16
2/4/1997;Bolivia;Argentina;2;1;FIFA World Cup qualification;La Paz;Bolivia;0;1;1;0;37;BOL;18;ARG;19
2/4/1997;Brasil;Chile;4;0;Friendly;Brasília;Brasil;0;4;1;0;1;BRA;21;CHI;-20
2/4/1997;Paraguay;Colombia;2;1;FIFA World Cup qualification;Asunción;Paraguay;0;1;1;0;31;PAR;5;COL;26
2/4/1997;Peru;Ecuador;1;1;FIFA World Cup qualification;Lima;Peru;0;0;0;0;45;PER;35;ECU;10
2/4/1997;Uruguay;Venezuela;3;1;FIFA World Cup qualification;Montevideo;Uruguay;0;2;1;0;43;URU;112;VEN;-69
29/4/1997;Chile;Venezuela;6;0;FIFA World Cup qualification;Santiago;Chile;0;6;1;0;26;CHI;109;VEN;-83
30/4/1997;Argentina;Ecuador;2;1;FIFA World Cup qualification;Buenos Aires;Argentina;0;1;1;0;19;ARG;35;ECU;-16
30/4/1997;Colombia;Peru;0;1;FIFA World Cup qualification;Barranquilla;Colombia;0;-1;0;1;8;COL;45;PER;-37
30/4/1997;Paraguay;Uruguay;3;1;FIFA World Cup qualification;Asunción;Paraguay;0;2;1;0;23;PAR;42;URU;-19
8/6/1997;Argentina;Peru;2;0;FIFA World Cup qualification;Buenos Aires;Argentina;0;2;1;0;21;ARG;39;PER;-18
8/6/1997;Ecuador;Chile;1;1;FIFA World Cup qualification;Quito;Ecuador;0;0;0;0;40;ECU;27;CHI;13
8/6/1997;Uruguay;Colombia;1;1;FIFA World Cup qualification;Montevideo;Uruguay;0;0;0;0;54;URU;11;COL;43
8/6/1997;Venezuela;Bolivia;1;1;FIFA World Cup qualification;Valera;Venezuela;0;0;0;0;113;VEN;32;BOL;81
11/6/1997;Argentina;Ecuador;0;0;Copa América;Cochabamba;Bolivia;1;0;0;0;21;ARG;40;ECU;-19
11/6/1997;Chile;Paraguay;0;1;Copa América;Cochabamba;Bolivia;1;-1;0;1;27;CHI;22;PAR;5
12/6/1997;Bolivia;Venezuela;1;0;Copa América;La Paz;Bolivia;0;1;1;0;32;BOL;113;VEN;-81
12/6/1997;Peru;Uruguay;1;0;Copa América;Sucre;Bolivia;1;1;1;0;39;PER;54;URU;-15
14/6/1997;Argentina;Chile;2;0;Copa América;Cochabamba;Bolivia;1;2;1;0;21;ARG;27;CHI;-6
14/6/1997;Paraguay;Ecuador;0;2;Copa América;Cochabamba;Bolivia;1;-2;0;1;22;PAR;40;ECU;-18
15/6/1997;Bolivia;Peru;2;0;Copa América;La Paz;Bolivia;0;2;1;0;32;BOL;39;PER;-7
15/6/1997;Uruguay;Venezuela;2;0;Copa América;Sucre;Bolivia;1;2;1;0;54;URU;113;VEN;-59
17/6/1997;Argentina;Paraguay;1;1;Copa América;Cochabamba;Bolivia;1;0;0;0;21;ARG;22;PAR;-1
17/6/1997;Chile;Ecuador;1;2;Copa América;Cochabamba;Bolivia;1;-1;0;1;27;CHI;40;ECU;-13
18/6/1997;Bolivia;Uruguay;1;0;Copa América;La Paz;Bolivia;0;1;1;0;34;BOL;51;URU;-17
18/6/1997;Peru;Venezuela;2;0;Copa América;Sucre;Bolivia;1;2;1;0;39;PER;111;VEN;-72
19/6/1997;Brasil;Colombia;2;0;Copa América;Santa Cruz;Bolivia;1;2;1;0;1;BRA;13;COL;-12
21/6/1997;Bolivia;Colombia;2;1;Copa América;La Paz;Bolivia;0;1;1;0;34;BOL;13;COL;21
21/6/1997;Peru;Argentina;2;1;Copa América;Sucre;Bolivia;1;1;1;0;39;PER;16;ARG;23
22/6/1997;Brasil;Paraguay;2;0;Copa América;Santa Cruz;Bolivia;1;2;1;0;1;BRA;24;PAR;-23
26/6/1997;Brasil;Peru;7;0;Copa América;Santa Cruz;Bolivia;1;7;1;0;1;BRA;39;PER;-38
29/6/1997;Bolivia;Brasil;1;3;Copa América;La Paz;Bolivia;0;-2;0;1;34;BOL;1;BRA;33
5/7/1997;Chile;Colombia;4;1;FIFA World Cup qualification;Santiago;Chile;0;3;1;0;27;CHI;13;COL;14
6/7/1997;Paraguay;Argentina;1;2;FIFA World Cup qualification;Asunción;Paraguay;0;-1;0;1;24;PAR;16;ARG;8
6/7/1997;Peru;Bolivia;2;1;FIFA World Cup qualification;Lima;Peru;0;1;1;0;39;PER;34;BOL;5
6/7/1997;Venezuela;Ecuador;1;1;FIFA World Cup qualification;Maracaibo;Venezuela;0;0;0;0;111;VEN;38;ECU;73
20/7/1997;Argentina;Venezuela;2;0;FIFA World Cup qualification;Buenos Aires;Argentina;0;2;1;0;13;ARG;106;VEN;-93
20/7/1997;Bolivia;Uruguay;1;0;FIFA World Cup qualification;La Paz;Bolivia;0;1;1;0;18;BOL;44;URU;-26
20/7/1997;Chile;Paraguay;2;1;FIFA World Cup qualification;Santiago;Chile;0;1;1;0;27;CHI;23;PAR;4
20/7/1997;Colombia;Ecuador;1;0;FIFA World Cup qualification;Barranquilla;Colombia;0;1;1;0;12;COL;30;ECU;-18
13/8/1997;Japon;Brasil;0;3;Friendly;Osaka;Japon;0;-3;0;1;17;JPN;1;BRA;16
20/8/1997;Colombia;Bolivia;3;0;FIFA World Cup qualification;Barranquilla;Colombia;0;3;1;0;10;COL;18;BOL;-8
20/8/1997;Ecuador;Paraguay;2;1;FIFA World Cup qualification;Quito;Ecuador;0;1;1;0;29;ECU;27;PAR;2
20/8/1997;Uruguay;Chile;1;0;FIFA World Cup qualification;Montevideo;Uruguay;0;1;1;0;50;URU;23;CHI;27
20/8/1997;Venezuela;Peru;0;3;FIFA World Cup qualification;Barinas;Venezuela;0;-3;0;1;109;VEN;36;PER;73
24/8/1997;Peru;Colombia;2;1;Friendly;Lima;Peru;0;1;1;0;36;PER;10;COL;26
10/9/1997;Brasil;Ecuador;4;2;Friendly;Salvador;Brasil;0;2;1;0;1;BRA;29;ECU;-28
10/9/1997;Chile;Argentina;1;2;FIFA World Cup qualification;Santiago;Chile;0;-1;0;1;23;CHI;13;ARG;10
10/9/1997;Colombia;Venezuela;1;0;FIFA World Cup qualification;Barranquilla;Colombia;0;1;1;0;10;COL;109;VEN;-99
10/9/1997;Paraguay;Bolivia;2;1;FIFA World Cup qualification;Asunción;Paraguay;0;1;1;0;27;PAR;18;BOL;9
10/9/1997;Peru;Uruguay;2;1;FIFA World Cup qualification;Lima;Peru;0;1;1;0;36;PER;50;URU;-14
12/10/1997;Argentina;Uruguay;0;0;FIFA World Cup qualification;Buenos Aires;Argentina;0;0;0;0;10;ARG;47;URU;-37
12/10/1997;Ecuador;Bolivia;1;0;FIFA World Cup qualification;Guayaquil;Ecuador;0;1;1;0;30;ECU;23;BOL;7
12/10/1997;Paraguay;Venezuela;1;0;FIFA World Cup qualification;Asunción;Paraguay;0;1;1;0;28;PAR;110;VEN;-82
12/10/1997;Peru;Chile;0;4;FIFA World Cup qualification;Lima;Peru;0;-4;0;1;34;PER;29;CHI;5
16/11/1997;Argentina;Colombia;1;1;FIFA World Cup qualification;Buenos Aires;Argentina;0;0;0;0;13;ARG;11;COL;2
16/11/1997;Chile;Bolivia;3;0;FIFA World Cup qualification;Santiago;Chile;0;3;1;0;27;CHI;22;BOL;5
16/11/1997;Peru;Paraguay;1;0;FIFA World Cup qualification;Lima;Peru;0;1;1;0;38;PER;28;PAR;10
16/11/1997;Uruguay;Ecuador;5;3;FIFA World Cup qualification;Maldonado;Uruguay;0;2;1;0;52;URU;31;ECU;21
29/3/1998;Colombia;Paraguay;1;1;Friendly;New Haven;USA;1;0;0;0;17;COL;30;PAR;-13
22/4/1998;Chile;Colombia;2;2;Friendly;Santiago;Chile;0;0;0;0;6;CHI;13;COL;-7
29/4/1998;Brasil;Argentina;0;1;Friendly;Rio de Janeiro;Brasil;0;-1;0;1;1;BRA;7;ARG;-6
17/5/1998;Japon;Paraguay;1;1;Kirin Cup;Tokyo;Japon;0;0;0;0;11;JPN;29;PAR;-18
19/5/1998;Argentina;Chile;1;0;Friendly;Mendoza;Argentina;0;1;1;0;7;ARG;6;CHI;1
24/5/1998;Chile;Uruguay;2;2;Friendly;Santiago;Chile;0;0;0;0;9;CHI;38;URU;-29
14/6/1998;Argentina;Japon;1;0;FIFA World Cup;Toulouse;France;1;1;1;0;6;ARG;12;JPN;-6
27/6/1998;Brasil;Chile;4;1;FIFA World Cup;Paris;France;1;3;1;0;1;BRA;9;CHI;-8
14/10/1998;Brasil;Ecuador;5;1;Friendly;Washington;USA;1;4;1;0;1;BRA;51;ECU;-50
3/2/1999;Venezuela;Argentina;0;2;Friendly;Maracaibo;Venezuela;0;-2;0;1;126;VEN;6;ARG;120
10/2/1999;Peru;Ecuador;1;2;Friendly;Lima;Peru;0;-1;0;1;62;PER;61;ECU;1
17/2/1999;Ecuador;Peru;1;2;Friendly;Guayaquil;Ecuador;0;-1;0;1;61;ECU;62;PER;-1
7/3/1999;Bolivia;Paraguay;0;3;Friendly;Guatemala;Guatemala;1;-3;0;1;59;BOL;22;PAR;37
30/3/1999;Venezuela;Colombia;0;0;Friendly;Maracaibo;Venezuela;0;0;0;0;126;VEN;28;COL;98
31/3/1999;Japon;Brasil;0;2;Friendly;Tokyo;Japon;0;-2;0;1;37;JPN;1;BRA;36
15/4/1999;Venezuela;Colombia;1;1;Friendly;Caracas;Venezuela;0;0;0;0;126;VEN;28;COL;98
22/4/1999;Paraguay;Colombia;0;2;Friendly;Luque;Paraguay;0;-2;0;1;20;PAR;30;COL;-10
28/4/1999;Bolivia;Chile;1;1;Friendly;Cochabamba;Bolivia;0;0;0;0;52;BOL;21;CHI;31
6/6/1999;Japon;Peru;0;0;Kirin Cup;Yokohama;Japon;0;0;0;0;41;JPN;66;PER;-25
15/6/1999;Venezuela;Ecuador;3;2;Friendly;San Cristóbal;Venezuela;0;1;1;0;118;VEN;55;ECU;63
17/6/1999;Colombia;Peru;3;3;Friendly;Manizales;Colombia;0;0;0;0;32;COL;66;PER;-34
17/6/1999;Paraguay;Uruguay;2;3;Friendly;Ciudad del Este;Paraguay;0;-1;0;1;21;PAR;74;URU;-53
20/6/1999;Chile;Bolivia;1;0;Friendly;Santiago;Chile;0;1;1;0;29;CHI;53;BOL;-24
20/6/1999;Venezuela;Peru;3;0;Friendly;Valencia;Venezuela;0;3;1;0;115;VEN;66;PER;49
23/6/1999;Peru;Venezuela;3;0;Friendly;Lima;Peru;0;3;1;0;66;PER;115;VEN;-49
24/6/1999;Paraguay;Colombia;2;1;Friendly;Asunción;Paraguay;0;1;1;0;21;PAR;32;COL;-11
29/6/1999;Paraguay;Bolivia;0;0;Copa América;Asunción;Paraguay;0;0;0;0;21;PAR;53;BOL;-32
29/6/1999;Peru;Japon;3;2;Copa América;Asunción;Paraguay;1;1;1;0;66;PER;42;JPN;24
30/6/1999;Brasil;Venezuela;7;0;Copa América;Ciudad del Este;Paraguay;1;7;1;0;1;BRA;115;VEN;-114
1/7/1999;Argentina;Ecuador;3;1;Copa América;Luque;Paraguay;1;2;1;0;8;ARG;49;ECU;-41
1/7/1999;Uruguay;Colombia;0;1;Copa América;Asunción;Paraguay;1;-1;0;1;74;URU;32;COL;42
2/7/1999;Paraguay;Japon;4;0;Copa América;Asunción;Paraguay;0;4;1;0;21;PAR;42;JPN;-21
2/7/1999;Peru;Bolivia;1;0;Copa América;Asunción;Paraguay;1;1;1;0;66;PER;53;BOL;13
3/7/1999;Chile;Venezuela;3;0;Copa América;Ciudad del Este;Paraguay;1;3;1;0;29;CHI;115;VEN;-86
4/7/1999;Argentina;Colombia;0;3;Copa América;Luque;Paraguay;1;-3;0;1;8;ARG;32;COL;-24
